Año,Mes,Total_Pasajeros
2006,Enero,1939874
2006,Febrero,1790001
2006,Marzo,2161602
2006,Abril,2072259
2006,Mayo,2060626
2006,Junio,2026844
2006,Julio,2360462
2006,Agosto,2196043
2006,Septiembre,1833866
2006,Octubre,2003266
2006,Noviembre,2090943
2006,Diciembre,2191510
2007,Enero,1997353
2007,Febrero,1783050
2007,Marzo,2212058
2007,Abril,2166727
2007,Mayo,2191244
2007,Junio,2130850
2007,Julio,2544941
2007,Agosto,2323742
2007,Septiembre,1965306
2007,Octubre,2142792
2007,Noviembre,2161070
2007,Diciembre,2262529
2008,Enero,2098239
2008,Febrero,1905223
2008,Marzo,2258050
2008,Abril,2068272
2008,Mayo,2171439
2008,Junio,2187682
2008,Julio,2484482
2008,Agosto,2326521
2008,Septiembre,2001489
2008,Octubre,2156551
2008,Noviembre,2199799
2008,Diciembre,2352470
2009,Enero,2212936
2009,Febrero,1995845
2009,Marzo,2226139
2009,Abril,2091930
2009,Mayo,1417816
2009,Junio,1907490
2009,Julio,2330474
2009,Agosto,2195007
2009,Septiembre,1787406
2009,Octubre,1959851
2009,Noviembre,1982243
2009,Diciembre,2135919
2010,Enero,1917664
2010,Febrero,1698671
2010,Marzo,2075485
2010,Abril,1956764
2010,Mayo,2065553
2010,Junio,2067454
2010,Julio,2477338
2010,Agosto,2267455
2010,Septiembre,1653922
2010,Octubre,1936059
2010,Noviembre,1936696
2010,Diciembre,2077474
2011,Enero,1873394
2011,Febrero,1667876
2011,Marzo,2029011
2011,Abril,2076700
2011,Mayo,2224286
2011,Junio,2130152
2011,Julio,2588100
2011,Agosto,2426906
2011,Septiembre,2134679
2011,Octubre,2315024
2011,Noviembre,2338540
2011,Diciembre,2564193
2012,Enero,2294970
2012,Febrero,2067707
2012,Marzo,2427919
2012,Abril,2330013
2012,Mayo,2378227
2012,Junio,2413304
2012,Julio,2869008
2012,Agosto,2666327
2012,Septiembre,2311097
2012,Octubre,2493537
2012,Noviembre,2518644
2012,Diciembre,2720800
2013,Enero,2472482
2013,Febrero,2112706
2013,Marzo,2493745
2013,Abril,2431636
2013,Mayo,2550989
2013,Junio,2621785
2013,Julio,3107884
2013,Agosto,2884472
2013,Septiembre,2510140
2013,Octubre,2671506
2013,Noviembre,2727302
2013,Diciembre,2949991
2014,Enero,2719068
2014,Febrero,2333299
2014,Marzo,2669255
2014,Abril,2732120
2014,Mayo,2852748
2014,Junio,2776752
2014,Julio,3255803
2014,Agosto,3148774
2014,Septiembre,2683143
2014,Octubre,2946370
2014,Noviembre,2967031
2014,Diciembre,3171376
2015,Enero,2893800
2015,Febrero,2569463
2015,Marzo,3116950
2015,Abril,3080489
2015,Mayo,3217890
2015,Junio,3199283
2015,Julio,3710642
2015,Agosto,3531791
2015,Septiembre,3009413
2015,Octubre,3265434
2015,Noviembre,3309697
2015,Diciembre,3528160
2016,Enero,3189186
2016,Febrero,2860296
2016,Marzo,3356837
2016,Abril,3188441
2016,Mayo,3420530
2016,Junio,3477693
2016,Julio,4033840
2016,Agosto,3771015
2016,Septiembre,3309877
2016,Octubre,3546196
2016,Noviembre,3619009
2016,Diciembre,3937334
2017,Enero,3613509
2017,Febrero,3132130
2017,Marzo,3619897
2017,Abril,3705489
2017,Mayo,3762683
2017,Junio,3805146
2017,Julio,4211331
2017,Agosto,4004361
2017,Septiembre,3347457
2017,Octubre,3717270
2017,Noviembre,3809392
2017,Diciembre,4003753
2018,Enero,3830188
2018,Febrero,3362093
2018,Marzo,3917789
2018,Abril,3880235
2018,Mayo,3962663
2018,Junio,3917895
2018,Julio,4448600
2018,Agosto,4226395
2018,Septiembre,3754580
2018,Octubre,4059981
2018,Noviembre,4085143
2018,Diciembre,4254985
2019,Enero,3953908
2019,Febrero,3516119
2019,Marzo,4122595
2019,Abril,4127284
2019,Mayo,4347196
2019,Junio,4260795
2019,Julio,4629152
2019,Agosto,4431798
2019,Septiembre,3914096
2019,Octubre,4249943
2019,Noviembre,4252124
2019,Diciembre,4503039
2020,Enero,4211461
2020,Febrero,3823841
2020,Marzo,2668373
2020,Abril,295654
2020,Mayo,275975
2020,Junio,558992
2020,Julio,1032491
2020,Agosto,1349518
2020,Septiembre,1508060
2020,Octubre,1852559
2020,Noviembre,2044803
2020,Diciembre,2359984
2021,Enero,2075841
2021,Febrero,1615587
2021,Marzo,2353821
2021,Abril,2625623
2021,Mayo,3033067
2021,Junio,3134763
2021,Julio,3592824
2021,Agosto,3354411
2021,Septiembre,2992448
2021,Octubre,3508529
2021,Noviembre,3710236
2021,Diciembre,4059464
2022,Enero,3249487
2022,Febrero,3008316
2022,Marzo,3829261
2022,Abril,4006797
2022,Mayo,3589297
2022,Junio,3499876
2022,Julio,4345328
2022,Agosto,4316945
2022,Septiembre,3867584
2022,Octubre,4181238
2022,Noviembre,4119622
2022,Diciembre,4244770
2023,Enero,3996992
2023,Febrero,3562046
2023,Marzo,4129601
2023,Abril,4001565
2023,Mayo,3927558
2023,Junio,3921030
2023,Julio,4329060
2023,Agosto,4308692
2023,Septiembre,3829499
2023,Octubre,4041514
2023,Noviembre,4109321
